matrix,n,nnz,stiles,pardiso,mumps,cholmod,pastix
m_t1,97578,4925574,2.794606,0.784413,0.392399,0.477504,0.705588
smt,25710,1889447,1.365711,0.360349,0.202245,0.307778,0.341656
thread,29736,2249892,1.792734,0.436958,0.268849,0.369497,0.459878
inla_graph_lgm_10010_bw2,10010,327351,0.704278,0.171828,0.153653,0.027541,0.259448
inla_graph_lgm_100200_bw1,100200,30054727,12.552749,7.171140,6.315977,9.426108,7.256010
inla_graph_lgm_100200_bw2,100200,32026662,21.124892,7.781468,6.335899,11.168033,8.216965
inla_graph_lgm_48600_bw2,48600,35663339,17.245616,4.991613,4.058366,7.179427,8.635341
inla_graph_lgm_50000_bw15000,50000,7286160,19.408187,3.323750,2.023508,16.857179,5.948273
inla_graph_lgm_50400_bw2,50400,23854872,42.911693,8.946174,6.048093,11.310205,7.934481
bcsstk08,1074,7017,0.023744,0.009670,0.002466,0.001931,0.023070
bcsstk09,1083,9760,0.026269,0.010397,0.001334,0.001147,0.017447
bcsstk10,1086,11578,0.021927,0.007279,0.000716,0.000560,0.009967
bcsstk11,1473,17857,0.026418,0.010749,0.001117,0.001145,0.014065
bcsstk13,2003,42943,0.070033,0.020355,0.003269,0.003577,0.045527
bcsstk14,1806,32630,0.045780,0.016597,0.002002,0.002152,0.030197
bcsstk15,3948,60882,0.117275,0.036339,0.005985,0.005761,0.055015
bcsstk16,4884,147631,0.272698,0.029502,0.005113,0.006211,0.040128
bcsstk17,10974,219812,0.160567,0.067879,0.046904,0.012271,0.075222
bcsstk18,11948,80519,0.247109,0.074041,0.077070,0.013377,0.095253
inla_graph_83o4NNNo,25853,778924,1.311893,0.384475,0.376795,0.053531,0.335466
inla_graph_8rtKSK,7860,32965,0.037334,0.019378,0.007385,0.006875,0.057164
inla_graph_animal1,5126,2644501,1.576083,0.453399,0.064373,0.104433,0.680815
inla_graph_animal2,50126,251427001,102.201818,27.984335,20.648412,9.969558,51.895151
inla_graph_ayaLRw,69224,168584,0.730802,0.233866,0.278687,0.064474,0.158894
inla_graph_bern_spd,96344,2181456,0.567350,0.765760,0.693681,0.331698,0.875191
inla_graph_diff,21529,200017,0.182730,0.076120,0.135207,0.017948,0.165417
inla_graph_ferris,42961,650694,1.091083,0.403895,0.414707,0.115028,0.381404
inla_graph_lidense,12509,17292917,2.946129,1.892826,0.432489,0.733597,2.851160
inla_graph_net1628760,1628760,14802802,22.491991,15.346793,19.072704,5.272731,7.378531
inla_graph_net814381,81438,189532,0.861501,0.276592,0.324878,0.037104,0.147564
inla_graph_pedigree,92699,277983,0.111973,0.295970,0.300157,0.064258,0.133228
inla_graph_sem_n100000,600006,2700006,1.986999,1.305565,1.485216,0.135881,1.577370
inla_graph_sem_n20000,120006,540006,0.199321,0.217992,0.226965,0.022526,0.247718
inla_graph_sem_n2000,12006,54006,0.048728,0.026071,0.019358,0.002103,0.036977
inla_graph_sem_n5000,30006,135006,0.065158,0.059388,0.050423,0.005561,0.071680
inla_graph_sh7Pgi,15815,55395,0.153679,0.060265,0.069937,0.007138,0.070967
inla_graph_spacetime,24931,644273,2.173052,0.435322,0.428670,0.526060,0.441592
inla_graph_stcov,24300,7388370,1.545639,0.716707,0.764117,0.439703,1.925960
inla_graph_yU0G1u,1517823,9238726,6.489971,4.635799,7.347179,1.327243,11.610054
audikw_1,943695,39297771,88.269582,11.779280,9.934157,13.193939,8.458497
bmw3_2,227362,5757996,4.045175,1.317943,0.883939,1.122526,1.028216
bmw7st_1,141347,3740507,2.433769,0.768629,0.449456,0.700168,0.657211
crankseg_1,52804,5333507,3.065716,0.925655,0.488315,0.602775,0.881530
crankseg_2,63838,7106348,3.936774,1.153157,0.647246,0.907035,1.195705
hood,220542,5494489,1.873398,0.972117,0.627779,0.333298,0.894610
oilpan,73752,1835470,1.388996,0.304256,0.130730,0.094697,0.303982
pwtk,217918,5926171,3.811732,1.050476,0.691191,0.823366,0.909705
ship_001,34920,2339575,1.237443,0.368844,0.163152,0.262679,0.380525
ship_003,121728,4103881,4.385924,0.789096,0.435570,0.647300,0.725856
shipsec1,140874,3977139,3.060622,0.776072,0.466522,0.476669,0.712611
shipsec5,179860,5146478,3.996834,1.010073,0.577514,0.899166,0.905624
shipsec8,114919,3384159,2.860313,0.663979,0.361895,0.514585,0.653808
bone010,986703,36326514,81.793496,9.892997,8.004865,11.585548,6.926735
boneS01,127224,3421188,3.064397,0.870505,0.736322,0.927145,0.823912
boneS10,914898,28191660,45.191824,7.567384,6.327358,8.781404,5.009464
thermal1,82654,328556,1.357842,0.357992,0.412040,0.068379,0.221711
thermomech_dM,204316,813716,0.644789,1.020560,1.136802,0.257677,0.490602
thermomech_TC,102158,406858,0.352393,0.456195,0.549103,0.084729,0.269253
thermomech_TK,102158,406858,0.333231,0.485028,0.543573,0.090865,0.269057
nasa2910,2910,88603,0.383449,0.023513,0.003528,0.004329,0.040893
nasa4704,4704,54730,0.068971,0.022242,0.003393,0.004106,0.046018
nasasrb,54870,1366097,1.256685,0.417378,0.327585,0.074004,0.328791
nd12k,36000,7128473,10.368727,1.943556,1.433895,2.479250,2.445381
nd3k,9000,1644345,4.967243,0.451651,0.124736,0.475408,1.209941
nd6k,18000,3457658,5.256958,0.911452,0.664437,1.274038,1.292896
af_0_k101,503625,9027150,5.679793,1.297654,1.295092,1.771622,1.376768
af_shell3,504855,9046865,8.626212,1.386613,1.246142,1.586518,1.394187
ecology2,999999,2997995,9.793661,3.115216,5.190528,0.957107,1.626375
G2_circuit,150102,438388,0.557518,0.531230,0.776357,0.863245,0.357387
parabolic_fem,525825,2100225,3.275092,2.403114,3.184598,0.986448,1.171943
tmt_sym,726713,2903837,6.950633,3.245097,4.449155,6.410600,1.802865
1138_bus,1138,2596,0.019501,0.006574,0.000617,0.000460,0.014192
apache1,80800,311492,2.178521,0.353817,0.523657,0.569161,0.308705
apache2,715176,2766523,12.522128,3.702749,5.936640,7.045492,2.532979
bundle1,10581,390741,0.358616,0.099355,0.029979,0.011873,0.075003
consph,83334,3046907,5.975386,0.646239,0.541077,0.716399,0.772539
ct20stif,52329,1375396,1.133773,0.376058,0.273937,0.353816,0.330257
Emilia_923,923136,20964171,128.352137,7.759722,6.697998,8.395809,8.986027
Fault_639,638802,14626683,71.666737,4.846933,4.517971,6.199986,5.565083
gyro_k,17361,519260,0.455324,0.105454,0.063503,0.025014,0.103452
gyro_m,17361,178896,0.281800,0.130054,0.117077,0.013760,0.107504
inline_1,503712,18660027,15.751840,4.918419,4.688193,5.945889,3.524686
ldoor,952203,23737339,15.367703,3.330268,2.251949,3.340700,3.882610
msc10848,10848,620313,0.474682,0.088535,0.040822,0.027096,0.110915
msc23052,23052,588933,0.611795,0.094759,0.042297,0.027727,0.109581
offshore,259789,2251231,5.688627,2.593880,3.048466,4.048845,1.602500
s3dkq4m2,90449,2455670,2.059568,0.316755,0.198308,0.275475,0.343085
s3dkt3m2,90449,1921955,1.195881,0.274535,0.159010,0.223496,0.295360
