matrix,sTiles,PARDISO,MUMPS,CHOLMOD,PaStiX,symPACK
inla_graph_animal2,16.64,211.14,35.65,25.05,72.08,472.90
Emilia_923,13.26,24.76,16.18,22.15,19.79,126.96
audikw_1,6.67,12.22,9.47,17.13,10.53,51.11
bone010,6.44,7.88,7.05,14.41,9.78,21.80
Fault_639,7.88,17.23,10.18,13.86,10.86,114.64
inla_graph_lgm_50400_bw2,11.93,37.10,33.53,7.16,14.94,79.79
inla_graph_lgm_100200_bw2,2.38,7.63,4.74,3.61,6.73,8.45
boneS10,0.76,0.62,1.27,5.54,4.02,1.14
inla_graph_lgm_100200_bw1,1.13,2.54,1.98,2.31,4.91,1.93
inla_graph_lgm_48600_bw2,0.72,10.00,4.34,2.36,8.10,9.65
inla_graph_lgm_50000_bw15000,1.44,5.32,2.59,11.18,2.86,29.82
inla_graph_net1628760,0.39,0.22,0.99,4.10,3.93,0.82
