matrix,n,nnz,chosen_ordering,analyze_s,ordering_s
inla_graph_animal2,,,AND,197.0638,97.8790
Emilia_923,,,METIS-rescue,125.5032,24.3460
audikw_1,,,AND,117.7182,35.8640
bone010,,,AND,104.5014,22.5420
Fault_639,,,METIS-rescue,95.4671,11.7170
inla_graph_lgm_50400_bw2,,,RCM,85.9765,28.6240
inla_graph_lgm_100200_bw2,,,AND,61.1725,8.2660
boneS10,,,FND,46.0190,23.5050
inla_graph_lgm_100200_bw1,,,AND,39.7136,5.4900
inla_graph_lgm_48600_bw2,,,RCM,33.1143,12.6490
inla_graph_lgm_50000_bw15000,,,CAMD,30.0221,12.9470
inla_graph_net1628760,,,CAMD,26.3521,17.9190
inline_1,,,FND,20.7036,6.8520
nd12k,,,AND,16.5822,6.0210
ldoor,,,CAMD,14.7956,7.0340
apache2,,,CAMD,11.9403,4.6780
consph,,,AND,11.3076,1.3460
af_shell3,,,CAMD,7.8484,3.4300
ship_003,,,ND,7.6906,1.3950
ecology2,,,CAMD,7.5729,5.3420
inla_graph_yU0G1u,,,CAMD,7.4621,4.8230
offshore,,,CAMD,7.2129,0.8520
shipsec5,,,CAMD,6.9163,1.9720
crankseg_2,,,FND,6.8886,1.7210
af_0_k101,,,CAMD,6.7840,1.7510
nd6k,,,AND,6.4461,2.8250
boneS01,,,AND,5.9709,1.4420
m_t1,,,CAMD,5.9637,1.8960
bmw3_2,,,AND,5.3455,1.5900
tmt_sym,,,CAMD,5.2222,3.0050
pwtk,,,AND,5.1906,1.4520
shipsec1,,,CAMD,5.0065,1.4000
crankseg_1,,,AND,4.9324,1.1180
inla_graph_lidense,,,METIS,4.9265,2.3680
nd3k,,,ND,4.8541,3.5780
shipsec8,,,AND,4.8184,1.0800
bmw7st_1,,,FND,3.8381,1.2870
s3dkq4m2,,,AND,3.3463,0.7080
thread,,,AND,3.3458,0.8490
parabolic_fem,,,CAMD,3.2840,1.4370
apache1,,,METIS,3.0889,1.5350
inla_graph_spacetime,,,FND,3.0712,1.4510
inla_graph_stcov,,,FND,2.6224,0.4780
oilpan,,,CAMD,2.4639,0.2000
s3dkt3m2,,,METIS,2.3251,0.2490
hood,,,CAMD,2.1649,0.5980
smt,,,AND,2.1500,0.5860
inla_graph_animal1,,,AMD,1.9811,1.0230
ship_001,,,RCM,1.9397,0.5750
nasasrb,,,METIS,1.9111,0.7050
thermal1,,,METIS,1.6804,1.1620
inla_graph_83o4NNNo,,,RCM,1.6550,1.0120
inla_graph_sem_n100000,,,IDENTITY,1.6543,0.7570
ct20stif,,,AND,1.6411,0.6150
inla_graph_ferris,,,METIS,1.3648,0.9150
inla_graph_net814381,,,AMD,0.9963,0.8470
inla_graph_bern_spd,,,CAMD,0.9569,0.4020
G2_circuit,,,CAMD,0.8489,0.1940
inla_graph_ayaLRw,,,AMD,0.8138,0.7000
msc23052,,,FND,0.8072,0.2550
thermomech_dM,,,CAMD,0.7831,0.2800
inla_graph_lgm_10010_bw2,,,COLAMD,0.7160,0.4260
thermomech_TK,,,CAMD,0.4873,0.1590
thermomech_TC,,,CAMD,0.4804,0.1550
msc10848,,,FND,0.4639,0.2360
gyro_k,,,ND,0.4562,0.2070
gyro_m,,,AMD,0.3392,0.2350
bcsstk18,,,METIS,0.2748,0.2000
inla_graph_sem_n20000,,,IDENTITY,0.2210,0.0760
inla_graph_diff,,,METIS,0.2191,0.1190
bcsstk17,,,AMD,0.2131,0.0840
bcsstk16,,,IDENTITY,0.1905,0.0930
bcsstk15,,,METIS,0.1851,0.0730
inla_graph_sh7Pgi,,,AMD,0.1692,0.1220
nasa2910,,,FND,0.1396,0.1010
bundle1,,,AMD,0.1277,0.0490
inla_graph_pedigree,,,AMD,0.1083,0.0360
nasa4704,,,CAMD,0.0764,0.0250
bcsstk13,,,METIS,0.0741,0.0290
inla_graph_sem_n5000,,,IDENTITY,0.0629,0.0210
bcsstk14,,,METIS,0.0440,0.0170
inla_graph_sem_n2000,,,IDENTITY,0.0407,0.0080
inla_graph_8rtKSK,,,METIS,0.0293,0.0150
bcsstk11,,,COLAMD,0.0177,0.0050
bcsstk09,,,METIS,0.0175,0.0050
bcsstk08,,,AMD,0.0164,0.0050
bcsstk10,,,COLAMD,0.0111,0.0030
1138_bus,,,AMD,0.0095,0.0030
