matrix,n,nnz,c1,c2,c4,c8,c16,c32,c40,min,min@c
1138_bus,1138,2596,0.016747,0.007755,0.008039,0.008707,0.009084,0.012326,0.014346,0.007755,2
Emilia_923,923136,20964171,594.022883,387.550035,358.122835,343.636529,308.525898,288.879054,310.182074,288.879054,32
Fault_639,638802,14626683,330.429208,271.763573,199.149758,179.349599,191.173832,191.660714,168.276878,168.276878,40
G2_circuit,150102,438388,2.281208,1.780875,1.533750,1.408574,1.353092,1.325867,1.364443,1.325867,32
af_0_k101,503625,9027150,30.881626,22.571153,17.844932,17.364239,16.987426,16.837377,17.009441,16.837377,32
af_shell3,504855,9046865,27.098197,25.034287,21.842065,20.756319,20.389552,20.522991,20.350673,20.350673,40
apache1,80800,311492,4.559024,4.315423,4.072006,4.056590,4.088588,4.042761,3.999832,3.999832,40
apache2,715176,2766523,61.243763,40.503257,33.828124,29.813983,29.069439,29.481279,27.739504,27.739504,40
audikw_1,943695,39297771,338.793844,244.048666,196.805374,197.713733,188.804075,185.898470,186.974443,185.898470,32
bcsstk08,1074,7017,0.024995,0.016636,0.017286,0.018636,0.018001,0.020335,0.020084,0.016636,2
bcsstk09,1083,9760,0.019728,0.019254,0.020749,0.019868,0.019842,0.022288,0.023017,0.019254,2
bcsstk10,1086,11578,0.009049,0.010928,0.010826,0.011086,0.012992,0.015007,0.015108,0.009049,1
bcsstk11,1473,17857,0.017909,0.018208,0.019009,0.019167,0.021413,0.024070,0.026586,0.017909,1
bcsstk12,1473,17857,0.017874,0.018528,0.018640,0.019522,0.021038,0.026060,0.047212,0.017874,1
bcsstk13,2003,42943,0.078079,0.078419,0.074499,0.076398,0.076264,0.081098,0.080184,0.074499,4
bcsstk14,1806,32630,0.043539,0.043352,0.044849,0.046108,0.045976,0.049667,0.050845,0.043352,2
bcsstk15,3948,60882,0.157350,0.147366,0.147267,0.148164,0.147977,0.149721,0.153011,0.147267,4
bcsstk16,4884,147631,0.221829,0.213553,0.348514,0.204071,0.225875,0.333391,0.217774,0.204071,8
bcsstk17,10974,219812,0.247770,0.233759,0.223613,0.220737,0.214630,0.215683,0.221349,0.214630,16
bcsstk18,11948,80519,0.302305,0.295031,0.288906,0.285917,0.285514,0.288345,0.309515,0.285514,16
bmw3_2,227362,5757996,10.125130,8.255352,6.966998,6.730286,6.342631,6.388568,6.478938,6.342631,16
bmw7st_1,141347,3740507,5.498041,4.677009,4.565419,4.748461,4.610231,4.664452,4.617344,4.565419,4
bone010,986703,36326514,317.025745,258.049706,208.429507,159.073370,169.991175,132.537650,139.416357,132.537650,32
boneS01,127224,3421188,8.404612,7.292535,6.925069,6.519412,6.440069,6.357726,6.368810,6.357726,32
boneS10,914898,28191660,110.152689,87.399081,74.958453,78.278592,74.975168,74.416708,73.297407,73.297407,40
bundle1,10581,390741,0.160271,0.147598,0.146845,0.139323,0.163521,0.143980,0.145725,0.139323,8
consph,83334,3046907,18.281110,17.168888,16.285130,16.064503,15.319245,15.780286,15.529087,15.319245,16
crankseg_1,52804,5333507,6.635985,5.787377,5.487889,5.234880,5.205867,5.159930,5.141370,5.141370,40
crankseg_2,63838,7106348,9.029031,7.826437,7.297579,7.003907,6.910220,7.149809,6.876625,6.876625,40
ct20stif,52329,1375396,2.158863,1.981253,2.023036,1.864017,1.833352,1.790811,1.764926,1.764926,40
ecology2,999999,2997995,46.314279,35.804219,31.314329,29.477238,29.028327,29.009652,28.258212,28.258212,40
gyro_k,17361,519260,0.560800,0.534679,0.501806,0.557260,0.552235,0.547040,0.541985,0.501806,4
gyro_m,17361,178896,0.352236,0.341848,0.335325,0.331318,0.329444,0.334040,0.333679,0.329444,16
hood,220542,5494489,5.183169,3.827338,3.164916,2.839756,2.662206,2.594591,2.634616,2.594591,32
inla_graph_83o4NNNo,25853,778924,1.783690,1.695782,1.653288,1.621519,1.617965,1.626491,1.621474,1.617965,16
inla_graph_8rtKSK,7860,32965,0.029036,0.031141,0.028280,0.028251,0.030717,0.054096,0.036849,0.028251,8
inla_graph_animal1,5126,2644501,2.572224,2.426791,2.491173,2.240790,2.196854,2.243138,2.194957,2.194957,40
inla_graph_animal2,50126,251427001,276.100425,259.129531,244.999742,236.672972,232.720246,238.315451,233.393817,232.720246,16
inla_graph_ayaLRw,69224,168584,0.950899,0.913482,0.884131,0.883497,0.873249,0.867113,0.868373,0.867113,32
inla_graph_bern_spd,96344,2181456,1.226818,1.097950,1.027374,1.004850,0.999125,0.979245,0.982020,0.979245,32
inla_graph_diff,21529,200017,0.252657,0.234563,0.230616,0.225074,0.225883,0.227278,0.226056,0.225074,8
inla_graph_ferris,42961,650694,1.521905,1.442854,1.386083,1.365013,1.355072,1.347632,1.349756,1.347632,32
inla_graph_lgm_10010_bw2,10010,327351,0.843850,0.779742,0.751299,0.771624,0.774171,0.783876,0.820638,0.751299,4
inla_graph_lgm_100200_bw1,100200,30054727,43.499112,41.664051,45.288450,44.553296,40.585938,34.745247,39.309651,34.745247,32
inla_graph_lgm_100200_bw2,100200,32026662,83.795478,79.028551,58.324971,76.858436,56.015411,52.890830,51.577352,51.577352,40
inla_graph_lgm_48600_bw2,48600,35663339,40.468459,45.223782,42.532017,41.451567,33.824346,35.123213,32.640758,32.640758,40
inla_graph_lgm_50000_bw15000,50000,7286160,32.312221,30.396476,29.988985,28.614548,27.774357,27.791197,27.403192,27.403192,40
inla_graph_lgm_50400_bw2,50400,23854872,111.380959,100.743600,93.615658,91.006081,90.496507,88.108509,88.612905,88.108509,32
inla_graph_lidense,12509,17292917,6.692364,6.534962,6.240959,6.013425,5.895673,6.025087,5.851153,5.851153,40
inla_graph_net1628760,1628760,14802802,127.083019,93.552650,76.695834,68.947038,65.243510,64.322196,63.045111,63.045111,40
inla_graph_net814381,81438,189532,1.151610,1.096921,1.065088,1.058680,1.037974,1.039453,1.037413,1.037413,40
inla_graph_pedigree,92699,277983,0.273150,0.241949,0.223150,0.214772,0.212088,0.212065,0.217553,0.212065,32
inla_graph_sem_n100000,600006,2700006,8.506211,12.243123,9.160759,7.975732,7.200824,7.483434,6.797417,6.797417,40
inla_graph_sem_n2000,12006,54006,0.033361,0.033480,0.030710,0.030827,0.030790,0.035233,0.037675,0.030710,4
inla_graph_sem_n20000,120006,540006,0.504193,0.597483,0.475828,0.421523,0.389356,0.376617,0.370718,0.370718,40
inla_graph_sem_n5000,30006,135006,0.082178,0.084428,0.078151,0.075100,0.071281,0.074659,0.074206,0.071281,16
inla_graph_sh7Pgi,15815,55395,0.174863,0.174414,0.172973,0.170673,0.177690,0.175939,0.177705,0.170673,8
inla_graph_spacetime,24931,644273,3.764644,3.464807,3.338285,3.254278,3.216047,3.203608,3.181216,3.181216,40
inla_graph_stcov,24300,7388370,2.599598,2.320184,2.188851,2.537420,2.542656,2.551800,2.646340,2.188851,4
inla_graph_yU0G1u,1517823,9238726,44.373612,38.409676,54.199463,43.995828,39.212899,37.689001,36.171248,36.171248,40
inline_1,503712,18660027,43.400569,33.676329,29.289121,31.818577,30.640567,31.500893,30.925163,29.289121,4
ldoor,952203,23737339,60.375535,43.921019,35.630623,31.320274,29.095885,29.018739,28.198481,28.198481,40
m_t1,97578,4925574,8.004473,7.044925,6.772907,6.467152,6.258694,6.374971,6.495153,6.258694,16
msc10848,10848,620313,0.635464,0.518129,0.498870,0.545797,0.542981,0.518158,0.554039,0.498870,4
msc23052,23052,588933,0.924751,0.875313,0.829712,0.919231,0.916901,0.896374,0.889254,0.829712,4
nasa2910,2910,88603,0.159964,0.141900,0.158152,0.152343,0.160251,0.149965,0.229830,0.141900,2
nasa4704,4704,54730,0.085697,0.083207,0.079132,0.081737,0.080998,0.086331,0.087892,0.079132,4
nasasrb,54870,1366097,2.471842,2.235278,2.113382,2.046138,2.042093,1.985675,2.020802,1.985675,32
nd12k,36000,7128473,27.843085,28.071447,26.416212,26.321457,25.826444,22.908103,24.615097,22.908103,32
nd3k,9000,1644345,5.591347,5.464735,5.218922,5.233655,5.286668,5.218715,5.166041,5.166041,40
nd6k,18000,3457658,9.941405,8.839311,8.835252,10.696284,10.566279,10.871599,11.102318,8.835252,4
offshore,259789,2251231,19.000647,14.886561,12.690203,11.311578,10.736227,9.836762,9.907230,9.836762,32
oilpan,73752,1835470,3.034537,2.793377,2.658505,2.601108,2.568320,2.588478,2.573758,2.568320,16
parabolic_fem,525825,2100225,17.883286,13.291782,11.036289,9.995439,10.270195,10.006699,10.132216,9.995439,8
pwtk,217918,5926171,8.992927,7.446847,6.716574,7.426808,7.210555,7.072334,,6.716574,4
s3dkq4m2,90449,2455670,4.396593,3.893048,3.647057,4.060441,3.878458,3.938334,3.939936,3.647057,4
s3dkt3m2,90449,1921955,3.520458,3.018473,2.764638,2.623028,2.563985,2.533374,2.533933,2.533374,32
ship_001,34920,2339575,2.551095,2.358214,2.106040,2.070818,2.045301,2.002880,2.038711,2.002880,32
ship_003,121728,4103881,10.466084,8.864502,8.023511,9.255310,9.072859,8.961481,9.017066,8.023511,4
shipsec1,140874,3977139,6.912248,6.135762,5.584114,5.289354,5.053339,5.152895,5.016340,5.016340,40
shipsec5,179860,5146478,9.676150,8.284112,7.492656,7.124237,6.923878,6.813501,7.041364,6.813501,32
shipsec8,114919,3384159,6.842294,5.891997,5.399033,6.181270,6.098058,6.275724,6.353150,5.399033,4
smt,25710,1889447,3.350203,3.052999,3.393170,3.452945,3.424188,3.390821,3.449590,3.052999,2
thermal1,82654,328556,2.049960,1.931208,1.861269,1.833646,1.811451,1.805127,1.812242,1.805127,32
thermomech_TC,102158,406858,0.967018,0.791414,0.689581,0.655360,0.629138,0.619221,0.615987,0.615987,40
thermomech_TK,102158,406858,0.967785,0.788584,0.697139,0.649336,0.615295,0.612134,0.637164,0.612134,32
thermomech_dM,204316,813716,2.533609,1.893033,1.527493,1.344336,1.274233,1.247530,1.245543,1.245543,40
thread,29736,2249892,5.454158,4.905542,4.783429,4.553371,4.434235,4.785709,4.804522,4.434235,16
tmt_sym,726713,2903837,31.974404,24.594534,21.268066,19.286527,18.501973,19.860396,18.766992,18.501973,16
lme4_crossed_n146k,146000,1544858,14.861444,10.620046,8.505387,7.426599,6.576045,6.404116,6.656966,6.404116,32
lme4_crossed_n42k,42000,440994,0.618278,0.530340,0.450720,0.423314,0.412588,0.393496,0.400756,0.393496,32
lme4_crossed_n94k,94000,992862,4.237555,3.495699,2.856883,2.349714,2.172653,2.020609,2.179769,2.020609,32
